DistanceKm,DurationMin,Weight,Volume,CarType,FinalPrice
129,185,8314,56,Dump truck,17532
159,277,2345,5,Small van,5085
169,240,9775,28,Refrigerator,15212
94,134,9196,37,Tented truck,14523
84,121,7354,59,Dump truck,14352
66,130,4831,4,Medium van,5064
186,364,2242,15,Medium van,8391
177,230,748,23,Isothermal van,9805
87,135,9203,39,Refrigerator,12955
74,91,207,52,Furniture van,5364
54,77,2813,23,Furniture van,4943
180,229,9899,2,Medium van,9899
68,98,8471,49,Dump truck,11826
51,86,7248,8,Small van,5348
53,77,3577,25,Dump truck,8272
187,250,9901,51,Dump truck,21205
62,118,4052,4,Tented truck,7786
129,154,9381,24,Furniture van,11049
39,52,9522,2,Furniture van,6852
65,132,5670,28,Furniture van,6836
28,54,758,49,Furniture van,3392
159,243,5234,30,Medium van,9599
193,414,4640,23,Tented truck,18850
165,242,6677,49,Small van,7734
32,49,6182,37,Small van,5957
149,192,8932,22,Dump truck,17692
39,56,3644,27,Dump truck,6818
136,296,1827,20,Tented truck,12466
124,166,5053,17,Isothermal van,8812
152,317,3421,50,Isothermal van,10795
162,335,4330,34,Tented truck,15589
195,353,7296,35,Furniture van,13208
51,103,8731,47,Tented truck,11890
118,171,8825,20,Medium van,10497
155,319,1359,44,Isothermal van,9570
87,124,4961,35,Small van,5258
108,224,3721,52,Isothermal van,9165
181,340,7817,17,Small van,9577
7,13,5628,43,Dump truck,6705
124,233,1588,23,Refrigerator,7879
163,233,931,50,Small van,6554
173,208,2271,46,Refrigerator,13308
177,317,4352,42,Furniture van,9488
137,270,482,25,Furniture van,6015
175,221,5202,21,Small van,7078
6,9,7035,47,Tented truck,6577
192,311,4804,5,Furniture van,10065
159,198,479,11,Dump truck,13441
56,114,2649,12,Small van,3427
145,178,4271,55,Tented truck,13227
97,123,6208,12,Refrigerator,9894
153,245,304,12,Dump truck,13217
33,65,963,21,Isothermal van,3176
36,76,9007,14,Refrigerator,8930
68,119,6099,14,Small van,6232
130,266,9287,52,Isothermal van,13700
81,111,8948,47,Refrigerator,12836
144,235,6914,54,Medium van,8746
59,80,6167,16,Tented truck,8733
20,33,7150,46,Medium van,6764
75,110,2698,2,Small van,3238
102,210,2817,9,Isothermal van,6868
119,224,4708,46,Dump truck,14714
88,117,4082,48,Dump truck,10069
54,97,1415,29,Medium van,4044
186,300,5170,59,Isothermal van,13430
20,24,3271,58,Dump truck,6145
24,42,5360,24,Isothermal van,5616
64,118,2329,27,Medium van,5105
111,161,1529,22,Medium van,5665
24,46,7731,13,Isothermal van,5705
112,196,3750,4,Refrigerator,8729
116,166,3732,9,Refrigerator,8908
123,266,4051,32,Refrigerator,9245
159,310,8540,19,Refrigerator,16431
167,219,6119,50,Medium van,9653
180,226,6895,14,Refrigerator,15676
167,306,839,4,Medium van,6078
114,236,9014,5,Dump truck,13214
193,359,4394,27,Medium van,9986
5,8,995,37,Medium van,2314
154,236,8620,10,Tented truck,15757
68,147,6629,47,Medium van,8159
94,134,9587,22,Small van,8815
54,111,8518,3,Furniture van,7402
66,98,6679,22,Refrigerator,8372
14,29,3897,30,Furniture van,4051
139,269,8033,60,Medium van,11066
180,224,5060,26,Medium van,8084
160,321,7866,9,Small van,9623
98,187,7386,25,Isothermal van,10750
21,44,3073,36,Furniture van,3805
104,158,3631,5,Furniture van,6617
103,138,8596,26,Dump truck,14977
151,235,7971,19,Medium van,10966
111,190,1233,7,Dump truck,10976
179,362,7496,22,Refrigerator,14694
57,100,441,47,Furniture van,3961
163,268,78,52,Medium van,6452
54,80,6205,12,Isothermal van,7103
40,77,5319,17,Refrigerator,7192
52,80,127,34,Refrigerator,5493
5,7,6685,44,Medium van,6119
176,252,544,36,Refrigerator,12226
169,321,1721,11,Medium van,6597
91,166,3949,60,Tented truck,11119
20,26,1978,42,Dump truck,5548
168,337,82,5,Furniture van,7691
87,106,6080,34,Tented truck,11871
165,244,222,21,Furniture van,7175
176,222,4515,50,Refrigerator,15733
114,167,9436,16,Small van,7973
43,72,1493,40,Medium van,4183
54,68,8801,18,Medium van,6296
53,74,3529,44,Isothermal van,5450
82,124,31,24,Tented truck,7565
157,282,7760,8,Medium van,8427
32,56,958,46,Isothermal van,3909
112,204,9609,12,Medium van,10149
10,12,9225,30,Dump truck,8974
38,80,1967,8,Tented truck,5620
76,101,2818,6,Medium van,4676
199,373,7398,56,Refrigerator,17112
134,277,4700,9,Tented truck,11367
116,183,9267,47,Dump truck,13698
27,57,7483,1,Medium van,5199
193,399,1074,10,Refrigerator,12915
15,21,1983,35,Furniture van,3014
127,167,4741,3,Tented truck,12896
125,239,6939,29,Small van,7981
88,125,7364,9,Dump truck,12439
145,281,8850,51,Tented truck,19108
86,160,341,51,Tented truck,9296
46,79,967,26,Isothermal van,3660
105,128,5342,59,Dump truck,11602
148,285,6290,39,Medium van,10699
9,13,9305,10,Refrigerator,6840
51,89,3628,22,Furniture van,5733
84,178,2551,16,Furniture van,5298
133,251,6733,32,Furniture van,9008
31,67,4047,8,Isothermal van,4996
128,168,7456,9,Furniture van,10487
159,210,3586,14,Isothermal van,8640
125,159,5926,11,Furniture van,9347
30,45,2546,59,Refrigerator,6009
6,11,3061,57,Refrigerator,4320
187,229,4320,44,Medium van,10045
158,329,7388,53,Tented truck,17543
188,400,1953,47,Medium van,9405
38,60,6398,34,Furniture van,6880
143,260,9746,55,Tented truck,16809
124,230,8372,49,Furniture van,10182
185,339,6121,35,Small van,9038
191,369,219,28,Furniture van,8829
108,176,7835,32,Furniture van,10248
68,97,1417,1,Refrigerator,5313
49,84,6838,25,Furniture van,6651
113,229,9984,39,Tented truck,14525
88,174,3597,23,Medium van,5440
19,23,3514,47,Furniture van,4185
168,363,6820,51,Small van,10602
196,376,6671,41,Tented truck,20787
148,196,266,43,Tented truck,13614
194,253,8565,56,Tented truck,17661
98,139,9868,35,Medium van,8315
115,138,6836,10,Refrigerator,9815
48,64,9319,13,Medium van,7571
19,38,3061,55,Small van,4329
24,33,4751,20,Tented truck,6301
85,172,5386,58,Small van,7132
170,239,248,31,Medium van,6468
153,326,4816,43,Small van,7574
126,170,5563,4,Furniture van,7232
41,76,22,59,Small van,2809
55,93,1048,18,Furniture van,3497
135,249,7776,42,Tented truck,17105
116,235,8001,21,Isothermal van,9099
90,147,8941,13,Medium van,7870
97,173,7468,38,Dump truck,12755
96,115,4730,55,Medium van,7313
171,253,3500,23,Furniture van,9042
126,205,4472,43,Small van,5881
199,331,5515,27,Furniture van,10059
2,3,2678,28,Refrigerator,3525
82,125,2897,14,Tented truck,9260
128,263,3805,7,Dump truck,14162
96,190,2819,33,Tented truck,8932
10,14,6695,44,Medium van,5279
33,64,78,19,Tented truck,4173
166,343,2103,15,Isothermal van,9420
19,23,2440,14,Small van,2726
76,137,2940,50,Dump truck,10162
95,153,6099,12,Small van,5529
174,287,697,42,Furniture van,9384
130,250,3809,52,Furniture van,9956
54,81,2611,21,Medium van,4364
15,29,9424,21,Tented truck,8944
139,261,944,46,Furniture van,6818
172,295,6450,33,Small van,8519
168,322,4962,55,Furniture van,12028
175,384,4318,5,Small van,6757
22,26,336,22,Dump truck,3934
45,98,1031,46,Medium van,3980
135,257,1703,26,Dump truck,12672
49,77,9252,44,Medium van,8047
4,5,3478,43,Dump truck,5584
14,20,1376,37,Medium van,2976
138,202,5095,44,Isothermal van,9332
25,31,3386,14,Medium van,3739
47,66,1369,31,Dump truck,7488
192,261,3832,32,Medium van,8366
41,52,5741,56,Refrigerator,8527
173,286,934,15,Isothermal van,9881
166,246,5062,14,Furniture van,8625
176,259,4503,14,Tented truck,14149
149,184,4023,25,Refrigerator,12542
138,241,8646,14,Medium van,10474
22,43,4683,57,Dump truck,7796
165,335,6102,41,Furniture van,10086
162,273,8026,10,Tented truck,18005
139,273,4122,55,Medium van,9109
188,238,517,59,Medium van,8687
160,255,6762,44,Refrigerator,15373
137,203,2355,9,Medium van,6515
150,301,5021,20,Dump truck,16575
42,64,9975,47,Isothermal van,10512
112,169,4449,27,Furniture van,6801
43,71,3669,32,Medium van,4513
167,362,704,58,Medium van,7323
66,90,9973,22,Furniture van,10052
42,76,585,29,Tented truck,5429
102,204,1893,27,Furniture van,5660
154,295,5052,31,Tented truck,14523
30,38,5564,10,Medium van,5167
3,5,2868,44,Dump truck,5554
43,74,9231,46,Isothermal van,9006
38,54,1536,51,Furniture van,4390
147,224,3912,9,Furniture van,8913
116,174,6251,57,Furniture van,9694
102,223,6408,60,Medium van,7734
144,309,4800,44,Furniture van,8602
52,70,4605,52,Medium van,6131
34,50,6649,33,Refrigerator,7106
192,372,4027,42,Small van,8333
195,409,5978,53,Refrigerator,16129
68,82,138,34,Medium van,3950
150,273,794,42,Tented truck,12965
148,217,3513,16,Isothermal van,9606
137,282,9625,5,Small van,7841
145,291,8521,35,Isothermal van,11462
47,102,9122,55,Refrigerator,9526
16,19,9042,49,Small van,5972
172,213,6624,3,Isothermal van,12592
198,388,3992,48,Refrigerator,16002
140,262,1070,19,Furniture van,7121
164,311,5890,41,Isothermal van,11468
139,197,813,22,Tented truck,11388
59,85,5018,50,Tented truck,8979
90,162,6661,30,Medium van,7285
181,278,5332,45,Dump truck,15531
61,128,946,24,Refrigerator,6375
33,69,7412,59,Furniture van,8745
51,84,730,24,Tented truck,6239
41,85,5376,41,Small van,6094
72,149,2910,5,Furniture van,4373
88,134,9828,33,Tented truck,12486
61,113,5124,38,Dump truck,10067
155,221,8327,10,Refrigerator,12902
32,43,3324,14,Refrigerator,5322
71,134,4240,25,Small van,5623
84,182,1773,26,Furniture van,5550
29,58,2397,4,Refrigerator,4640
6,10,8007,20,Medium van,6296
19,33,3035,23,Refrigerator,5061
118,196,7664,5,Dump truck,15845
49,100,945,6,Refrigerator,5029
187,238,6161,19,Small van,7839
53,80,7876,15,Isothermal van,7683
141,225,795,21,Dump truck,12324
116,200,8389,19,Small van,8118
92,115,8199,19,Tented truck,12732
86,133,642,42,Dump truck,10051
187,406,8360,59,Refrigerator,19168
8,16,1459,38,Medium van,2720
6,10,2421,54,Tented truck,5616
20,34,9855,54,Small van,7346
63,121,2301,22,Tented truck,6402
95,148,2548,40,Tented truck,10339
109,223,3114,28,Isothermal van,8618
124,197,3156,18,Furniture van,7852
38,79,6241,40,Tented truck,7391
155,305,9163,58,Dump truck,21277
136,205,5901,8,Refrigerator,12648
62,89,712,13,Refrigerator,5440
174,323,6061,14,Furniture van,11284
60,94,3429,2,Dump truck,6638
127,203,7912,53,Tented truck,15324
93,189,5729,12,Isothermal van,8453
151,247,9427,13,Tented truck,17029
86,143,2376,3,Tented truck,7434
81,114,1817,10,Medium van,3772
131,251,6735,47,Refrigerator,11544
96,164,5242,45,Tented truck,11009
27,55,2543,3,Tented truck,4626
78,113,195,51,Isothermal van,5398
132,174,3813,56,Refrigerator,12759
127,153,3054,10,Furniture van,6513
118,170,2637,44,Small van,6388
97,161,9758,49,Small van,8928
157,334,2813,21,Small van,6949
200,391,1316,7,Refrigerator,12484
36,54,4505,35,Refrigerator,6780
32,62,6662,60,Medium van,7740
177,363,4130,35,Isothermal van,11625
51,104,1207,8,Tented truck,5392
91,177,6981,5,Isothermal van,8498
132,252,8773,59,Tented truck,14401
121,228,6628,59,Tented truck,13315
131,265,7021,56,Medium van,10756
15,19,4676,51,Furniture van,5924
122,259,2179,56,Furniture van,7796
157,276,6133,27,Dump truck,14662
192,257,9757,40,Dump truck,18198
140,295,3085,4,Isothermal van,7303
117,226,8923,50,Tented truck,14639
57,107,9221,29,Refrigerator,9134
73,153,2168,6,Dump truck,8784
62,92,6666,39,Dump truck,11255
50,77,9594,40,Isothermal van,8938
133,188,1020,22,Small van,4356
56,81,8401,54,Refrigerator,9722
134,285,561,29,Refrigerator,9460
82,141,30,60,Tented truck,7652
170,362,148,30,Small van,5426
25,43,2862,25,Furniture van,3965
79,110,8351,30,Refrigerator,10232
111,226,5872,1,Medium van,8014
164,234,3689,48,Medium van,8631
21,33,4427,39,Isothermal van,5628
193,383,8269,5,Isothermal van,15240
125,213,7808,25,Dump truck,13035
36,61,6414,29,Tented truck,7751
16,26,3544,60,Furniture van,5057
13,24,3892,30,Isothermal van,4739
153,268,462,36,Small van,5458
1,1,9204,2,Isothermal van,6076
26,43,5638,46,Dump truck,7604
88,189,8155,11,Furniture van,7517
83,137,953,51,Refrigerator,7162
163,319,7541,28,Medium van,10920
169,245,7867,48,Medium van,11525
161,332,2216,44,Dump truck,16296
100,133,7697,57,Isothermal van,11803
188,355,4876,30,Dump truck,19222
71,148,9048,28,Isothermal van,10494
97,136,7104,38,Isothermal van,9377
121,213,3002,15,Small van,4912
184,337,6873,9,Isothermal van,10745
134,244,7590,44,Tented truck,14336
177,220,1640,8,Tented truck,11472
48,64,5863,13,Small van,5271
114,238,9218,13,Small van,8799
137,268,427,21,Medium van,5322
77,145,7848,49,Dump truck,11213
157,240,8807,31,Small van,10528
108,171,8449,9,Tented truck,11603
48,85,6796,60,Isothermal van,7423
73,155,2944,10,Dump truck,9325
59,93,7882,53,Small van,6797
165,245,3608,23,Small van,7030
101,161,2519,40,Dump truck,10843
86,146,5439,19,Small van,5992
113,227,8211,14,Refrigerator,11167
85,155,5445,29,Tented truck,10001
188,344,1672,19,Dump truck,17148
100,169,4670,6,Furniture van,7673
34,62,5132,8,Dump truck,6210
166,293,8051,14,Refrigerator,13043
127,188,4532,5,Refrigerator,10705
52,97,2404,59,Isothermal van,6098
166,270,1255,4,Furniture van,8088
196,266,5045,38,Furniture van,9983
101,124,2449,51,Isothermal van,7774
131,228,6157,34,Refrigerator,11875
129,181,3393,8,Dump truck,12983
102,191,5805,12,Refrigerator,9757
20,24,9547,22,Furniture van,6707
97,157,5385,37,Tented truck,11758
76,163,3444,9,Refrigerator,7828
112,238,5668,11,Furniture van,8661
183,346,9102,15,Furniture van,10991
167,262,7302,11,Refrigerator,13856
130,179,5106,38,Refrigerator,11021
23,29,7213,28,Dump truck,8419
111,181,2897,58,Tented truck,11253
134,237,9785,13,Furniture van,12275
92,129,4471,41,Dump truck,11678
39,64,1170,26,Dump truck,5407
101,144,937,27,Isothermal van,6695
33,57,3864,24,Dump truck,5898
13,27,6581,27,Medium van,5527
187,280,2875,2,Dump truck,16557
189,333,6750,4,Refrigerator,13968
199,400,6413,39,Dump truck,17101
54,70,9211,47,Isothermal van,10511
30,50,9713,53,Furniture van,8521
42,66,9710,46,Tented truck,10322
143,191,411,53,Medium van,7006
78,141,1224,30,Tented truck,8696
131,207,9353,7,Refrigerator,11352
191,410,7065,37,Medium van,10793
66,100,1331,45,Furniture van,5118
155,209,3754,59,Isothermal van,11552
59,103,5317,5,Tented truck,8040
61,125,7875,8,Tented truck,9283
125,220,5165,50,Tented truck,14470
36,54,8402,51,Dump truck,10138
86,113,2275,10,Refrigerator,7639
90,126,7625,24,Refrigerator,10711
166,314,6056,10,Isothermal van,11968
131,278,7766,29,Refrigerator,14387
161,327,9736,18,Dump truck,19687
7,9,4191,60,Furniture van,5248
63,129,9807,34,Refrigerator,12199
95,168,2728,14,Furniture van,6526
71,90,7782,39,Dump truck,10907
182,357,9448,38,Small van,11420
192,333,7439,24,Medium van,10920
156,250,3250,34,Medium van,7756
130,176,7626,59,Isothermal van,12478
13,16,624,11,Tented truck,3165
55,106,7405,40,Furniture van,7540
76,125,2555,33,Medium van,4517
65,135,4318,6,Furniture van,4955
119,146,2325,15,Medium van,5965
9,12,5232,15,Refrigerator,5008
153,316,917,21,Small van,4349
85,184,3075,7,Isothermal van,5405
183,230,1967,15,Furniture van,8928
8,14,9424,57,Small van,7121
56,72,7492,28,Small van,6324
76,117,5735,14,Medium van,7016
106,170,2992,31,Medium van,5349
52,106,2431,21,Medium van,3597
189,310,7841,5,Tented truck,17847
166,208,6178,55,Furniture van,11354
11,17,6494,12,Dump truck,6153
116,184,2094,36,Small van,5156
32,45,2389,9,Dump truck,5222
148,264,7012,49,Isothermal van,10886
186,329,9938,22,Isothermal van,13286
148,308,9178,41,Medium van,10167
110,218,8192,46,Isothermal van,9915
63,104,6085,29,Isothermal van,7363
156,201,8531,50,Dump truck,18125
49,68,304,60,Tented truck,5766
11,18,466,50,Refrigerator,3638
168,223,3840,37,Furniture van,8743
20,29,7671,25,Furniture van,6074
26,37,5210,59,Medium van,6465
21,43,4572,8,Small van,3208
163,240,9881,36,Medium van,12607
23,44,5823,20,Isothermal van,5924
22,35,9094,37,Tented truck,9421
85,107,1337,29,Refrigerator,6968
35,70,5222,44,Refrigerator,6413
89,137,9679,36,Tented truck,12486
87,157,3727,8,Isothermal van,6475
9,17,7066,59,Dump truck,7761
79,139,7049,42,Isothermal van,8494
97,127,2097,38,Refrigerator,8791
51,61,48,2,Refrigerator,3949
15,26,1964,32,Medium van,3375
109,185,8140,18,Dump truck,12877
110,227,6118,21,Dump truck,11963
43,76,5156,8,Refrigerator,5947
22,27,4366,6,Furniture van,4329
186,247,3526,43,Furniture van,11549
104,180,1564,3,Tented truck,7967
67,115,8242,57,Medium van,7600
187,337,4672,47,Medium van,10306
166,270,4374,55,Isothermal van,12475
95,181,1168,48,Furniture van,6777
182,259,8237,56,Isothermal van,12653
162,311,9612,38,Small van,9820
91,116,1382,36,Furniture van,5219
7,11,4518,19,Isothermal van,3974
20,24,8364,34,Furniture van,6898
190,262,6147,44,Small van,7867
70,91,9732,49,Furniture van,11166
26,48,3358,16,Medium van,3447
131,241,980,47,Isothermal van,7674
85,117,8592,3,Furniture van,7757
70,95,7800,33,Dump truck,10837
75,127,4960,51,Tented truck,10837
99,179,1131,10,Refrigerator,6353
128,231,3126,18,Isothermal van,7809
91,160,2943,3,Medium van,4330
160,232,966,46,Isothermal van,8758
135,292,9837,27,Isothermal van,14299
199,427,9414,2,Medium van,13085
134,219,1021,41,Refrigerator,10151
181,319,2123,31,Dump truck,16978
83,162,6837,56,Medium van,8546
76,96,9595,25,Medium van,7983
5,8,5698,50,Refrigerator,6261
120,150,3973,32,Medium van,7758
156,277,7348,8,Medium van,9895
173,242,9324,10,Tented truck,15173
105,207,845,12,Medium van,4413
53,80,6004,37,Medium van,5752
131,257,3572,19,Furniture van,8283
92,187,7788,57,Isothermal van,11930
97,204,6575,34,Tented truck,12574
23,43,6391,24,Furniture van,5446
59,117,7368,29,Medium van,7623
31,55,1344,38,Dump truck,5676
144,237,9523,60,Dump truck,15896
135,218,5099,19,Dump truck,14714
102,221,5758,60,Dump truck,13156
60,102,9317,46,Medium van,7873
115,176,7155,44,Tented truck,14689
147,248,2553,27,Small van,5045
20,25,6376,18,Refrigerator,5533
122,188,38,8,Dump truck,11256
22,36,2011,42,Isothermal van,4580
125,185,3896,15,Small van,5389
58,76,6404,51,Medium van,7972
62,80,5807,50,Refrigerator,8104
186,331,5085,27,Isothermal van,10499
153,277,8227,33,Medium van,9197
57,125,9568,46,Small van,9110
47,102,1322,31,Small van,2914
140,201,1804,42,Small van,5761
164,353,7842,50,Small van,9945
45,89,3849,3,Furniture van,4362
115,211,3058,20,Isothermal van,8381
74,131,3862,49,Medium van,6442
86,167,4552,27,Refrigerator,9942
41,60,3330,17,Tented truck,6776
111,225,1533,12,Medium van,5066
116,231,4654,13,Tented truck,13231
78,112,1553,35,Furniture van,4605
166,308,4892,7,Tented truck,16076
47,57,1352,37,Dump truck,6928
106,174,3867,53,Small van,6793
117,173,8939,36,Furniture van,11610
147,180,9546,2,Refrigerator,14308
97,121,8267,56,Isothermal van,11007
109,141,1835,29,Dump truck,11914
27,52,6707,12,Tented truck,6898
64,96,6285,51,Medium van,6520
93,181,8982,43,Dump truck,15634
165,272,8616,44,Isothermal van,12781
132,160,6100,50,Refrigerator,10955
66,81,3578,26,Furniture van,5233
163,196,9183,11,Dump truck,19190
121,242,1880,39,Isothermal van,7851
80,133,9701,2,Small van,6592
98,205,6975,23,Isothermal van,10325
106,220,7746,38,Refrigerator,12101
182,335,1683,37,Refrigerator,11719
94,133,5707,31,Small van,7046
164,253,145,22,Medium van,6591
22,42,9063,23,Refrigerator,7921
149,183,9704,9,Medium van,11165
186,393,4952,47,Medium van,10944
175,361,5602,21,Isothermal van,13406
148,288,7919,31,Small van,8415
64,129,7882,30,Medium van,6724
69,97,5344,18,Medium van,5117
6,10,1151,19,Small van,1604
96,188,9770,42,Medium van,9510
39,80,8023,16,Isothermal van,8200
88,163,9702,22,Refrigerator,11007
199,336,6021,14,Tented truck,15736
143,183,2968,52,Refrigerator,11000
196,367,9872,40,Small van,10203
177,305,7808,42,Dump truck,19009
23,48,8896,7,Medium van,5968
77,125,4958,43,Tented truck,9273
195,254,9221,59,Medium van,12014
74,116,4129,45,Tented truck,10307
186,393,7648,45,Small van,10291
12,15,9571,54,Medium van,8302
75,100,9205,50,Isothermal van,10495
191,348,4629,38,Medium van,10629
36,70,4595,38,Furniture van,5978
185,321,616,49,Furniture van,9302
162,243,7149,21,Medium van,10847
97,140,940,21,Small van,3144
71,112,1010,47,Refrigerator,6428
83,149,2996,36,Small van,4505
128,272,9605,11,Tented truck,16363
31,46,3675,39,Isothermal van,6073
9,12,7552,39,Small van,6437
6,12,3485,47,Dump truck,4958
186,363,4969,7,Dump truck,16688
95,122,7354,22,Refrigerator,9223
34,47,8832,16,Dump truck,8422
28,52,7411,1,Small van,5106
91,185,9806,41,Dump truck,13778
81,119,7740,2,Furniture van,7254
119,256,5731,57,Tented truck,14135
173,223,7740,52,Furniture van,10692
1,1,9744,9,Isothermal van,6422
